sample,zn_o_water_distance_A,total_energy_hartree,homo_hartree,lumo_hartree,gap_hartree,converged,xyz_file
20,2.4486228000815315,-530.8958346712056,-0.6755578553765662,0.02193356767052905,0.6974914230470952,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0020.xyz
21,3.8045095587767475,-530.7754576735952,-0.5354232301961344,0.026526790418885872,0.5619500206150202,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0021.xyz
22,4.443184150320892,-530.0485009559304,-0.5124551747852824,0.025690888487903556,0.5381460632731859,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0022.xyz
23,2.789142122680308,-531.2913620194018,-0.5994629520025074,0.03342531241244882,0.6328882644149563,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0023.xyz
24,4.088774514933671,-530.5944574134481,-0.5228404773317518,0.025753284038912118,0.5485937613706638,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0024.xyz
25,4.791688670578432,-530.0484639896268,-0.5097710900599877,0.02532096082980131,0.535092050889789,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0025.xyz
26,4.408608877082003,-530.2010373966024,-0.5124241273987635,0.026411668002852277,0.5388357954016159,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0026.xyz
27,2.2568190709078237,-531.3180780547866,-0.678657933267442,0.030940446378589816,0.7095983796460318,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0027.xyz
28,3.619017590177381,-530.9462310522089,-0.5376063247460151,0.021293301206277943,0.558899625952293,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0028.xyz
29,4.876287244105934,-530.0089395948294,-0.5103448364541785,0.01906546656251487,0.5294103030166933,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0029.xyz
30,4.178282120269297,-530.4916967420129,-0.5201478652097534,0.02103658305533526,0.5411844482650887,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0030.xyz
31,4.35429536385098,-530.1412184586727,-0.5136249492658195,0.020903628485874168,0.5345285777516936,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0031.xyz
32,3.3507223638567463,-530.9466874945074,-0.5505656572450658,0.030816364338147165,0.581382021583213,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0032.xyz
33,4.647560586556789,-529.9223958414315,-0.5105378475932049,0.032435520645974235,0.5429733682391791,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0033.xyz
34,3.5275707456702365,-530.6939071483148,-0.5313065873982832,0.03179517741420305,0.5631017648124862,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0034.xyz
35,2.573405019395393,-531.2277215241015,-0.6365736141313372,0.031632559880775256,0.6682061740121125,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0035.xyz
36,3.1077384651093403,-531.3431519354509,-0.5800808915628124,0.023189087966942527,0.6032699795297549,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0036.xyz
37,2.306586774227215,-531.0316037814824,-0.6704082584370802,0.03036131544353011,0.7007695738806103,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0037.xyz
38,4.798269848140627,-529.9566996482987,-0.510023162027747,0.025432873290482726,0.5354560353182297,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0038.xyz
39,3.67562907210238,-530.7297170003035,-0.532127564101877,0.023888179538919266,0.5560157436407963,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0039.xyz
40,3.1215007737179383,-531.0551751537769,-0.557091536347296,0.03669696301890212,0.5937884993661982,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0040.xyz
41,3.317455667152494,-530.9229825795154,-0.5456797859286627,0.0315951808411174,0.5772749667697801,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0041.xyz
42,2.6528895966471584,-531.2690024797968,-0.6375960930927699,0.026101668320856634,0.6636977614136265,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0042.xyz
43,4.105626569806023,-530.4805334086294,-0.5201758843310169,0.021231954534485897,0.5414078388655028,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0043.xyz
44,3.423849077105834,-530.9120075780004,-0.5708545604688119,0.02660329602683327,0.5974578564956452,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0044.xyz
45,4.9443125619238515,-529.9428108789286,-0.5097893754580753,0.020867285741629438,0.5306566611997048,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0045.xyz
46,4.341202948128272,-530.0448205752607,-0.5120135581317166,0.03313457911441755,0.5451481372461341,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0046.xyz
47,3.049702035680764,-531.147907859361,-0.5691327851864126,0.031135197836750027,0.6002679830231626,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0047.xyz
